head;Bank accounts
head;Current accounts positions
head;http://www.mageia.org/
head;Account;Amount
;Paypal (not-for-profit organisation account);443.34
;Main account (with checkbook, no credit card);1401.29
;Savings account (between 2% and 4% interest rate);5503.06
